TIPO;MARCA;MODELO;VERSÃO;
Carro;Acura;Integra;Gs 1.8 Gasolina;
Carro;Acura;Legend;3.2 Gasolina;
Carro;Acura;Legend;3.5 Gasolina;
Carro;Acura;Nsx;3.0 Gasolina;
Carro;Agrale;Furgovan;4.3 8000 Turbo Intercooler Diesel 4P Manual;
Carro;Agrale;Marruá;2.8 Am 100 Cd Turbo Intercooler Diesel 4P Manual;
Carro;Agrale;Marruá;2.8 Am 150 Cd Turbo Intercooler Diesel 4P Manual;
Carro;Agrale;Marruá;2.8 Am 200 Cd Turbo Intercooler Diesel 4P Manual;
Carro;Agrale;Marruá;2.8 Am 50 Teto Rigido Turbo Intercooler Diesel 2P Manual;
Carro;Agrale;Marruá;2.8 Teto Rigido Turbo Intercooler Diesel 2P Manual;
Carro;Alfa Romeo;145;1.8 Elegant 16V Gasolina 2P Manual;
Carro;Alfa Romeo;145;2.0 Elegant 16V Gasolina 2P Manual;
Carro;Alfa Romeo;145;2.0 Quadrifoglio 16V Gasolina 2P Manual;
Carro;Alfa Romeo;147;1.3 C 8V Álcool 2P Manual;
Carro;Alfa Romeo;147;1.3 Cl 8V Álcool 2P Manual;
Carro;Alfa Romeo;147;1.3 Cl 8V Gasolina 2P Manual;
Carro;Alfa Romeo;147;1.3 Gl 8V Gasolina 2P Manual;
Carro;Alfa Romeo;147;1.3 Gls 8V Gasolina 2P Manual;
Carro;Alfa Romeo;147;1.3 L 8V Gasolina 2P Manual;
Carro;Alfa Romeo;147;1.3 Pick-Up City Cs 8V Álcool 2P Manual;
Carro;Alfa Romeo;147;2.0 16V Gasolina 4P Automático;
Carro;Alfa Romeo;147;2.0 Ts Selespeed 16V Gasolina 4P Automático;
Carro;Alfa Romeo;155;2.0 Super Ts 16V Gasolina 4P Manual;
Carro;Alfa Romeo;156;2.0 Elegant 16V Gasolina 4P Manual;
Carro;Alfa Romeo;156;2.0 Sport Wagon 16V Gasolina 4P Manual;
Carro;Alfa Romeo;156;2.0 Ts 16V Gasolina 4P Manual;
Carro;Alfa Romeo;156;2.5 V6 24V Gasolina 4P Automático;
Carro;Alfa Romeo;159;2.2 Jts Gasolina 4P Selespeed;
Carro;Alfa Romeo;164;3.0 Super V6 24V Gasolina 4P Automático;
Carro;Alfa Romeo;164;3.0 Super V6 24V Gasolina 4P Manual;
Carro;Alfa Romeo;164;3.0 V6 12V Gasolina 4P Automático;
Carro;Alfa Romeo;164;3.0 V6 12V Gasolina 4P Manual;
Carro;Alfa Romeo;166;3.0 V6 24V Gasolina 4P Automático;
Carro;Alfa Romeo;2300 Ti;2.3 8V Gasolina 4P Manual;
Carro;Alfa Romeo;Spider;2.0 Gasolina 2P Manual;
Carro;Alfa Romeo;Spider;3.0 V6 12V Gasolina 2P Manual;
Carro;Americar;Classic 427;5.0 V8 Gasolina 2P Automático Réplica;
Carro;Americar;Classic Xk120;4.1 I6 Gasolina 2P Automático Réplica;
Carro;Americar;Classic Xk120;4.1 I6 Gasolina 2P Manual Réplica;
Carro;Asia Motors;Hi-Topic;2.7 Std 8V Diesel 3P Manual;
